"ID","SKU","Name","Slug","Permalink","Type","Current price (R)","Regular price (R)","Sale price (R)","On sale","In stock","Low stock remaining","Categories","Category slugs","Image URLs","Short description","Description (text)"
"2205","A-2268","Anchor GMC Chevy Transmission Mount","anchor-gmc-chevy-transmission-mount","https://allamericanmuscle.co.za/product/anchor-gmc-chevy-transmission-mount/","simple","169.57","169.57","169.57","no","no","0","Transmission & Drivetrain","transmission-drivetrain","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/2285.webp","Anchor Engine Mount for SBC (Small Block Chevy) engines, providing stable engine support and vibration reduction.","Ensure stable and smooth engine operation in your vehicle with the Anchor Engine Mount designed specifically for SBC (Small Block Chevy) engines. This mount provides reliable engine support and effectively dampens vibrations, reducing noise and preventing damage. Ideal for South African automotive enthusiasts working on SBC engines who need quality replacement parts. As a trusted supplier, we offer top-tier engine components to maintain your vehicle’s performance and comfort. Key Features: Reliable Support: Provides stable mounting for SBC engines. Vibration Dampening: Reduces engine noise and vibration. Durable Construction: Built to withstand the demands of engine operation. Precise Fit: Ensures easy installation and compatibility with SBC engines. Quality Replacement: Meets or exceeds OEM specifications. Trusted Anchor Quality: Known for dependable automotive parts. Nationwide Delivery: We ship engine components across South Africa. Local Expertise: Expert assistance available.Why Choose the Anchor Engine Mount for SBC?This engine mount is essential for maintaining the stability and smooth operation of your SBC engine. It provides a reliable solution for worn or damaged mounts, ensuring optimal engine performance. Specifications: Application: SBC (Small Block Chevy) Engines Type: Engine Mount Frequently Asked Questions: Installation: Professional installation is recommended. Hardware: Check product details for included hardware. Shipping: Nationwide delivery available. Sup"
"2207","A-2257","Anchor Industries EngineMounts, Ford 289, 302, 351","anchor-industries-enginemounts-ford-289-302-351","https://allamericanmuscle.co.za/product/anchor-industries-enginemounts-ford-289-302-351/","simple","1221.39","1221.39","1221.39","no","yes","","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/2257.webp","Anchor Industries Engine Mounts for Ford 289, 302, 351 engines, providing reliable support and vibration dampening.","Maintain a stable and smooth engine operation in your classic Ford with Anchor Industries Engine mounts Ford 289 302 351. These mounts are specifically designed for Ford 289, 302, and 351 engines, providing reliable support and effectively dampening vibrations, reducing noise and preventing damage. Ideal for South African Ford enthusiasts looking for quality replacement parts. As a trusted supplier, we offer top-tier engine components to maintain your vehicle’s performance and comfort. Key Features: Reliable Support: Provides stable mounting for the engine. Vibration Dampening: Reduces noise and prevents damage from vibrations. Durable Construction: Built to withstand the demands of daily driving and performance applications. Precise Fit: Ensures easy installation and compatibility with Ford 289, 302, and 351 engines. Quality Replacement: Meets or exceeds OEM specifications. Trusted Anchor Industries Quality: Known for dependable automotive parts. Nationwide Delivery: We ship engine components across South Africa. Local Expertise: Expert assistance available. Why Choose Anchor Industries Engine Mounts for Ford 289, 302, 351? These engine mounts are essential for maintaining the stability and comfort of your classic Ford. They provide a reliable solution for worn or damaged mounts, ensuring smooth and quiet operation. Specifications: Application: Ford 289, 302, 351 Engines Type: Engine Mounts Maintain the stability and comfort of your classic Ford with Anchor Industries Engine"
"2208","AP-7600 KIT-BK","AP Racing 4 Pot Piston Disc Brake Kit – Black","ap-racing-4-pot-piston-disc-brake-kit-black","https://allamericanmuscle.co.za/product/ap-racing-4-pot-piston-disc-brake-kit-black/","simple","22381.79","22381.79","22381.79","no","no","0","Brake Systems","brake-systems","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/9166464725_L1150_4e7f2de9-2d78-40b1-8342-4e88d83af683.webp","AP Racing 4 Pot Piston Disc Brake Kit – Black. AP Racing four-piston big brake kit, black finish. Combines AP Racing’s race-proven 4-pot calipers with hig…","AP Racing four-piston big brake kit, black finish. Combines AP Racing’s race-proven 4-pot calipers with high-performance discs for dramatically improved stopping power, pedal feel and fade resistance over stock brakes – ideal for fast road and track use. AP Racing 4-pot calipers, black High-performance disc set included Big-brake upgrade, street and track"
"2209","AP-7600 KIT-RED","AP Racing 4 Pot Piston Disc Brake Kit – Red","ap-racing-4-pot-piston-disc-brake-kit-red","https://allamericanmuscle.co.za/product/ap-racing-4-pot-piston-disc-brake-kit-red/","simple","22381.81","22381.81","22381.81","no","no","0","Brake Systems","brake-systems","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/91664089_L1150_e7a6fa7d-8b59-45c7-89c1-10645a47d87b.webp","AP Racing 4 Pot Piston Disc Brake Kit – Red. AP Racing four-piston big brake kit, red finish. Combines AP Racing’s race-proven 4-pot calipers with high-pe…","AP Racing four-piston big brake kit, red finish. Combines AP Racing’s race-proven 4-pot calipers with high-performance discs for dramatically improved stopping power, pedal feel and fade resistance over stock brakes – ideal for fast road and track use. AP Racing 4-pot calipers, red High-performance disc set included Big-brake upgrade, street and track"
"2210","AP-7600","High Performance 4 Pot Discs SET","high-performance-4-pot-discs-set","https://allamericanmuscle.co.za/product/high-performance-4-pot-discs-set/","simple","25940.81","25940.81","25940.81","no","yes","1","Brake Systems","brake-systems","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/AP-7600_.webp","High Performance 4 Pot Discs SET. High-performance replacement disc set for the AP Racing 4-piston (AP-7600) big brake kit. Engineered to handle high heat…","High-performance replacement disc set for the AP Racing 4-piston (AP-7600) big brake kit. Engineered to handle high heat and hard use with consistent bite and resistance to fade. Fits AP Racing 4-pot (AP-7600) kit High-performance disc/rotor set Direct replacement"
"2211","AP-9040","High Performance 6 Pot Discs","high-performance-6-pot-discs","https://allamericanmuscle.co.za/product/high-performance-6-pot-discs/","simple","7290.00","7290.00","7290.00","no","yes","1","Brake Systems","brake-systems","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/9040.webp","9040 High performance 6 pot brake discs for superior stopping power and heat dissipation.","The 9040 High Performance 6 Pot Discs offer superior braking performance. We engineered them to handle the demands of high-speed and high-stress driving. Furthermore, with a 6-pot design, these discs provide exceptional stopping power, improved heat dissipation, and enhanced brake modulation. Consequently, they are ideal for performance vehicles, racing applications, and enthusiasts who seek the ultimate braking upgrade. In addition, these discs deliver consistent and reliable performance, ensuring your safety and confidence on the road or track. You can purchase them across South Africa. Ultimately, these high-performance brake discs offer you the quality and performance you need. Key Features 6-Pot Design: It provides you with exceptional stopping power and brake modulation. High-Performance: We engineered it for high-speed and high-stress driving. Improved Heat Dissipation: It reduces brake fade and maintains consistent performance for you. Durable Construction: We made it from high-quality materials for longevity. Enhanced Braking: It delivers you superior braking performance. Ideal for Performance Vehicles: It is perfect for you to use for racing and high-performance applications. Why Choose the 9040 High Performance 6 Pot Discs in South Africa? If you are looking for a significant braking upgrade for your performance vehicle, the 9040 6-pot discs offer the stopping power and reliability you need. This is because they are not just replacements; they are a significant per"
"2212","ARP 129-0901","ARP Bellhousing Bolt Kits","arp-bellhousing-bolt-kits","https://allamericanmuscle.co.za/product/arp-bellhousing-bolt-kits/","simple","626.75","626.75","626.75","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/04/product20287229.webp","ARP Bellhousing Bolt Kits","ARP bell housing bolt kits manufactured from durable 8740 heat-treated alloys with protective black oxide finish. Standard hex head or 12-point heads."
"2213","ARP 134-2501","ARP Damper Harmonic Balancer Bolt Kit SBC","arp-damper-harmonic-balancer-bolt-kit-sbc","https://allamericanmuscle.co.za/product/arp-damper-harmonic-balancer-bolt-kit-sbc/","simple","2273.37","2273.37","2273.37","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/f189de6d-f246-46a5-b511-20d46ea17325.webp","ARP Damper Harmonic Balancer Bolt Kit SBC – fits Small Block Chevy. ARP harmonic balancer bolt and washer kit for the Small Block Chevy. Replaces the weak…","ARP harmonic balancer bolt and washer kit for the Small Block Chevy. Replaces the weak factory damper bolt with a premium ARP fastener that keeps the balancer secured under high-rpm and high-load conditions. Supplied with a hardened, wide-area washer. Application: Small Block Chevy (265-400) Includes balancer bolt and hardened washer Stronger-than-stock replacement for street and performance use"
"2214","ARP 134-3601","ARP High Performance Series Cylinder Head Bolt Kit","arp-high-performance-series-cylinder-head-bolt-kit","https://allamericanmuscle.co.za/product/arp-high-performance-series-cylinder-head-bolt-kit/","simple","4562.65","4562.65","4562.65","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/ef926e6f-b91d-487b-939b-cd9e37a22e67.webp","ARP High Performance Series Cylinder Head Bolt Kit. ARP High Performance Series cylinder head bolt kit for the Small Block Chevy with stock-style heads. M…","ARP High Performance Series cylinder head bolt kit for the Small Block Chevy with stock-style heads. Manufactured from 8740-grade material rated at 180,000 psi – roughly 15% stronger than Grade 8 – for even, repeatable clamping load. Reduced-wrench hex heads make re-torquing easy without removing the valvetrain, and the kit includes hardened parallel-ground washers. Application: Small Block Chevy, stock-style cast-iron or aluminum heads Hex head, 180,000 psi tensile strength Includes hardened washers; cleans up and reusable"
"2215","ARP 154-6002","ARP High Performance Series Connecting Rod Bolt Ki","arp-high-performance-series-connecting-rod-bolt-ki","https://allamericanmuscle.co.za/product/arp-high-performance-series-connecting-rod-bolt-ki/","simple","3396.24","3396.24","3396.24","no","yes","1","Engines & Components","engines-components","https://allamericanmuscle.co.za/wp-content/uploads/2026/06/03b4974c-ae60-4780-b56a-f31f23007560.webp","ARP High Performance Series Connecting Rod Bolt Ki. ARP High Performance Series connecting rod bolt kit for Ford Small Block 289 and 302 engines. Made fro…","ARP High Performance Series connecting rod bolt kit for Ford Small Block 289 and 302 engines. Made from 8740 chromoly, heat-treated prior to thread rolling and machined with a generous underhead radius for maximum strength. A must-do upgrade over factory rod bolts when building or refreshing a Windsor short block. Application: Ford SB 289 / 302 (standard) 5/16″ 8740 chromoly rod bolts Supplied as a complete engine set"
