Site SKU,Name,Site price (incl)
MMR-9&#8242;-411,Mastodon 9 Ford Ring & Pinion 4.11 Gear Ratio Set,8500.00
MMR-9&#8243;-28-LSD,Mastodon 9″ 28 Spline Limited Slip Carrier,12500.00
MMR-9&#8243;-57&#8243;H,Mastodon Ford 9′ Rear End Housing With Axes 57 “,29780.35
CA-6370,Mastodon Tubular Control Arm Kit GM 63-70 C10 GMC Truck,18070.00
CA-7387,Mastodon Tubular Control Arm Kit GM 73-87 C10 GMC Truck,16800.00
CA-6872,Mastodon Tubular Control Arm Kit GM A-Body 1968-72 Chevelle GTO,15890.00
CA-6570,Mastodon Tubular Control Arm Kit GM 65-70 Full Size Cars,14980.00
CM-CT5559,"Mastodon Chevy Truck 1955-59, Mustang 2 Conversion Crossmember",9540.00
FLK-AB6872,Mastodon Tubular Rear Suspension Kit GM A-Body 68-72 Chevelle GTO,7360.00
SP-6370,Mastodon Drop Spindles 2.5″ GM 63-70 Truck,5720.00
SP-6472,Mastodon Drop Spindles 2″ GM 64-72 Chevelle El Camino Le Mans GTO 67-69 Camaro Firebird 68-74 Nova 70-72 Truck,3360.00
15-0401/SI-AT67003,Mastodon 2″ 52mm Chrome Volt / Water / Oil Pressure Triple 3 Gauge Set Gauges Kit,500.00
11-0108/SI-AT52008,Mastodon DBC LS1 Standalone W/ 4L60E Evi Plug Wiring Harness,6810.00
WHK-2200,Mastodon Universal 22 Circuit Wiring Harness,5650.00
09-0606/SI-AT25054,Mastodon Chevy LS Engine Serpentine Bracket Alternator & Power Steering Pump,1370.00
MMR-09057-BK,MastodonDistributorCap&RotorReplacement-Black- HEI,422.84
MMR-09057-R,MastodonDistributorCap&RotorReplacement- Red – HEI,422.84
MMR32057,Mastodon SB Chevy – BBC 160° Thermostat W/Gasket,232.33
MMR-700C,Mastodon 7″ Vacuum Dual Power Brake Booster Chrome,2886.71
MMR-41021,"Mastodon Tall Finned Aluminum Valve Covers,",3627.33
MMR-58089,Mastodon Valve Cover Gaskets Rubber w/ Steel Shim Core,520.42
LY-7&#8243;-2G-005,7 inch hi/low beam headlight with turn signal,2164.28
MMR-009-BLK,Mastodon GM Transmission Mount,618.00
MMR-81009,Mastodon Steering Pump Remote Reservoir GM Type2-Chrome,3252.63
MMR-CM-34448,Mastodon 1947-54 Chevy Truck IFS Crossmember,6512.39
MMR-CM-CT47541FS,Mastodon 1947-54Chevy Pickup Bolt-In IFS Front kit,8753.23
MMR-CM-D11193,Mastodon 1949-54 Chevy Bolt-On Front End Crossmemb,6652.45
MMR-CM-FT53561FS,Mastodon 1953-56 Ford F-100 IFS Crossmember,6442.37
MMR-75028,Mastodon Chevy SB350-400 Dual Plane Intake Manifold,6911.82
MMR-75073,Mastodon Ford Windsor Oil Pan,2276.84
MMR-CM-FT57601FS,Mastodon 1957-60 Ford F-100 Pickup IFS Crossmember,6512.39
MMR-67003,Mastodon 2 52mm Chrome Triple3Gauge Set Gauges Kit,585.48
MMR-75013,Mastodon Chevy LS Low Profile Oil Pan – Black,14962.08
MMR-CM-34457,"Mastodon 1964-70 Ford Mustang Crossmember, Mustang",6512.39
MMR-25054,EngineSerpentineBracketAlternator&PowerSteeringPum,1626.31
