Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
AP-9040,AP-9040,High Performance 6 Pot Discs,7290.00,28699.99,+21409.99
EDL-7163,EDL-7163,Edelbrock Performer Intake Manifold Big Block,15000.00,4029.99,-10970.01
PCE305-1302,PCE305-1302,Speedmaster Ford 351C-4.030″ 1.100″ 0.927″ Flat Top Hyper Pi,6500.00,14699.99,+8199.99
OS13881C-1,OS13881C-1,Fel-Pro 6 Cylinder GMC Oil Pan Gasket,650.00,7099.99,+6449.99
VS30055R,VS30055R,Fel-Pro Valve Cover Gasket BBC,650.00,6719.99,+6069.99
P1501-8-040,P1501(8)040,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,2910.57,8879.99,+5969.42
MMR-7000-A,MMR-7000A,Mastodon Leaf Spring Pads 3 Tube x 21/4 Wide,1026.09,6359.99,+5333.90
MMR-7/16,MMR-7/16,Mastodon Rocker Arm Studs 7/16,1200.00,5729.99,+4529.99
PC-0012,PC-0012,Pro Comp 3/8 Rocker Arm Studs Set,2000.00,5729.99,+3729.99
AC-19418859,AC-19418859,AC Delco Chevrolet Starter Motor,11450.00,15179.99,+3729.99
P1501-8-20,P1501-8-20,PISTON FORD 4.7L 289 5.0L 302 FLAT TOP 4BBL,8879.52,5179.99,-3699.53
MMR-BH195,MMR-BH195,Mastodon SBC 195 Cylinder Bare Head Each,5750.00,2299.99,-3450.01
PCE147-1042,PCE147-1042,Speedmaster SBF Windsor Aluminum Intake Manifold Polished,8500.00,5669.99,-2830.01
MMR-91602,MMR-91602,Mastodon GM LS Alternator,3800.00,6409.99,+2609.99
MMR-85007,MMR-85007,Mastodon HEI Distributor Pontiac 326-455,2500.00,4979.99,+2479.99
P1501-8-00,P1501-8-00,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,2910.57,5179.99,+2269.42
P1501-8-060,P1501-8-060,Enginetech Piston Ford Flat Top 4BBL 289/302 Winds,2910.57,5179.99,+2269.42
MMR-13233,MMR-13233,Mastodon C6 Sump Gasket Cork Ford Transmission Cor,80.00,2199.99,+2119.99
P1534-8-020,P1534-8-020,Enginetech Piston GM Chevy Flat Top 5.7L 350 0.020,3162.76,5179.99,+2017.23
ALT-211130W,ALT-211130W,12V 105A Chevy Lumina,4500.00,2499.99,-2000.01
MMR-5F02S,MMR-5F02S,Mastodon Carb Air Scoop,6500.00,4669.99,-1830.01
MMR-MMFPP-2,MMR-MMFPP-2,Mastodon Four Post Parking Lift,69000.00,70729.99,+1729.99
MMR-121199,MMR-121199,Classic 17″ 18 rivet steering wheel 9 Hole Mastodon,2500.00,779.99,-1720.01
ARP 134-6002,ARP 134-6002,"ARP High Performance Series Connecting Rod Bolts, SBC",4778.31,6339.99,+1561.68
HLY-302-16,HLY-302-16,Holley GM LS Dipstick and Tube Kit,1650.00,3209.99,+1559.99
MMR-121004,MMR-121004,Mastodon 14 Black Spoke Full Wrap Steering Wheel,4950.00,3439.99,-1510.01
SC1810,SC1810,"Shelby Cobra 2-Piece Forged Wheel 18 x 10,0 Offset 5/114.3 P",18320.00,19789.99,+1469.99
MMR-121019,MMR-121019,Mastodon 14 Inch Satin Half Wrap Black Steering Wheel,4900.00,3439.99,-1460.01
SC1808,SC1808,"Shelby Cobra 2-Piece Forged Wheel 18 x 8,0 Offset 5/114.3 PC",17300.00,18689.99,+1389.99
MMR-121002-C,MMR-121002-C,14″ Billet Half Wrap Steering Wheel (9-Hole) Mastodon,4950.00,3759.99,-1190.01
MMR-82017,MMR-82017,14″ billet black spoke steering wheel (9-Hole) Mastodon,4500.00,3439.99,-1060.01
MMR-3/8,MMR-3/8,Mastodon Rocker Arm Studs 3/8,1200.00,179.99,-1020.01
MMR-8607,MMR-8607,Mastodon GM TH350 Floor Mount Shifter Kit,5760.00,4759.99,-1000.01
MA-OS3020Y,MA-OS3020Y,Mahle BBC Sump Gasket,1800.00,819.99,-980.01
MMR-39041,MMR-39041,Mastodon Locking Trans Dipstick 4L80E/4l60e/700R4,1725.00,779.99,-945.01
MMR-25-284967-1,MMR-25-284967-1,Mastodon Corvette Tach Circuit Board 80-’82 Green,500.00,1389.99,+889.99
MMR-89002,MMR-89002,Mastodon SBC Hydraulic Roller Lifters Link Bar,9990.00,10789.99,+799.99
MMR-2806,MMR-2806,Mastodon Racing Fuel Pump 400 GPH Blue/Black,5000.00,4229.99,-770.01
MMR-TH400-GR,MMR-TH400-GR,Mastodon TH400 Sump Gasket Black Rubber,150.00,819.99,+669.99
MMR-8964-R,MMR-8964R,Mastodon High Voltage 50000 Volt Ignition Coil,1500.00,899.99,-600.01
MMR-5090-BK,MMR-5090-BK,Mastodon Radiator Coolant Water Tank,1600.00,1019.99,-580.01
MMR-5090-SR,MMR-5090-SR,"Mastodon Aluminum Radiator Coolant Water Tank, 2L",1600.00,1019.99,-580.01
MMR-5070-SR,MMR-5070-SR,Mastodon Aluminum Radiator Coolant Water Tank,1600.00,1019.99,-580.01
MMR-300-160,MMR-300-160,Mastodon SBC Thermostat,250.00,779.99,+529.99
LOK-X 70-EHBF,LOK-X 70-EHBF,Lokar Midnight Series Parking Brake Handle Boots,1600.00,2109.99,+509.99
MMR-36423,MMR-36423,Mastodon C6 Transmission Filter,300.00,779.99,+479.99
MY-308,MY-308,Mallory Rotor Screw Down Cap SBC,850.00,389.99,-460.01
FEL-1901,FEL-1901,Fel Pro Performance Carb 4 Hole Gaskets,50.00,509.99,+459.99
MMR-8420-KIT,MMR-8420KIT,Mastodon Timing Chain Cover Kit SBC,969.83,509.99,-459.84
MMR-8001-BK,MMR-8001-BK,Mastodon Brake Booster,3000.00,2549.99,-450.01
MMR-38020-BK,MMR-38020-BK,Mastodon Universal Ignition Wire Set 8.5mm,1200.00,779.99,-420.01
MMR-38021-R,MMR-38021-R,Mastodon Universal Ignition Wire Set 8.5mm 180 Deg,1200.00,779.99,-420.01
MMR-43011-Bk,MMR-43011-Bk,Mastodon Chevy Engine Mounting Black Polyurethane 3 Bolt,1600.00,1189.99,-410.01
MMR-58008-F,MMR-58008-F,Mastodon SBC Timing Cover Gasket Set,200.00,599.99,+399.99
MMR-8967-BK,MMR-8967BK,Mastodon Alternator Pulley Delco Single Groove Bla,279.13,649.99,+370.86
MMR-2853,MMR-2853,Mastodon BBC Valve Cover Cork Gasket,450.00,119.99,-330.01
MMR-7601,MMR-7601,Mastodon C6 Transmission Pan Chrome,450.00,779.99,+329.99
MMR-39038-C,MMR-39038-C,Mastodon C4 Chrome Steel Transmission Dipstick,450.00,779.99,+329.99
MMR-58009,MMR-58009,Mastodon 4 Barrel Carburettor Gasket Each,35.00,339.99,+304.99
MMR-194,MMR-194,"Mastodon Engine Swap Mounts, Weld-In, SBC/BBC",1500.00,1199.99,-300.01
PK 49-1006,PK 49-1006,Speedmaster SBF Intake Manifold Gasket,350.00,639.99,+289.99
MMR-38024,MMR-38024,Mastodon 90 Deg Ceramic Boot Spark Plug Wire Set,1950.00,1669.99,-280.01
MMR-25012,MMR-25012,Power steering bracket universal,1393.34,1119.99,-273.35
BC296JSTD,BC296JSTD,Enginetech Main Bearing GM Chevy Small Block Large,618.90,859.99,+241.09
BB608J00,BB608J00,Enginetech Big end Bearing 351 Windsor,593.48,829.99,+236.51
BB608J10,BB608J10,Enginetech Big end Bearing 351 Windsor,593.48,829.99,+236.51
MMR-3273,MMR-3273,Mastodon Electrical EFI Fuel Pump 4 BAR Silver,450.00,219.99,-230.01
MMR-5581-BK,MMR-5581-BK,Mastodon Universal Fuel Log 8-20 & 9/16-20 Black A,1000.00,779.99,-220.01
BC296J040,BC296J040,Enginetech SBC Main Bearing Large Journal (0.40mm),850.00,649.99,-200.01
