workbook,sheet,row,part_number,description,image_file,matched_site_sku,match_tier
CRS 15.07.2026.xlsx,sheet1,2,100-3901-BK,1967-1969 Camaro Trunk Hinge - LH & RH Black,CRS_15.07.2026__100-3901-BK.png,,
CRS 15.07.2026.xlsx,sheet1,3,100-3904-BK,1967-1969 Camaro Hood Hinge - LH & RH Black,CRS_15.07.2026__100-3904-BK.png,,
CRS 15.07.2026.xlsx,sheet1,4,15420,1:1 PULLEY SET FOR LONG WATER PUMP,CRS_15.07.2026__15420.png,,
CRS 15.07.2026.xlsx,sheet1,5,17015,"4 BLADE STEEL FAN, 15""",CRS_15.07.2026__17015.png,,
CRS 15.07.2026.xlsx,sheet1,6,17016,"4 BLADE STEEL FAN, 16""",CRS_15.07.2026__17016.png,,
CRS 15.07.2026.xlsx,sheet1,7,17018,"4 BLADE STEEL FAN, 18""",CRS_15.07.2026__17018.png,,
CRS 15.07.2026.xlsx,sheet1,8,17019,"4 BLADE STEEL FAN, 19""",CRS_15.07.2026__17019.png,,
CRS 15.07.2026.xlsx,sheet1,9,3014,"Steel U-joint 3/4"" DD To 3/4"" DD",CRS_15.07.2026__3014.png,,
CRS 15.07.2026.xlsx,sheet1,10,62500-BLK,"CHEVY STEEL MOTOR MOUNT, BLACK",CRS_15.07.2026__62500-BLK.png,,
CRS 15.07.2026.xlsx,sheet1,11,62515,TALL STOCKS STYLE MOTOR MOUNTS ZINC,CRS_15.07.2026__62515.png,,
CRS 15.07.2026.xlsx,sheet1,12,62515,TALL STOCKS STYLE MOTOR MOUNTS ZINC,CRS_15.07.2026__62515-2.png,,
CRS 15.07.2026.xlsx,sheet1,13,62600,SOLID TRANS MOUNT,CRS_15.07.2026__62600.png,,
CRS 15.07.2026.xlsx,sheet1,14,62630,CHEVY STEEL FRAME MOUNT,CRS_15.07.2026__62630.png,,
CRS 15.07.2026.xlsx,sheet1,15,62630-BLK,CHEVY STEEL FRAME MOUNT，BLACK,CRS_15.07.2026__62630-BLK.png,,
CRS 15.07.2026.xlsx,sheet1,16,9101571-16,"Mechanical Cooling Fan, 6 Blades, 16""",CRS_15.07.2026__9101571-16.png,,
CRS 15.07.2026.xlsx,sheet1,17,9101571-16,"Mechanical Cooling Fan, 6 Blades, 16""",CRS_15.07.2026__9101571-16-2.png,,
CRS 15.07.2026.xlsx,sheet1,18,9101571-17,"Mechanical Cooling Fan, 6 Blades, 17""",CRS_15.07.2026__9101571-17.png,,
CRS 15.07.2026.xlsx,sheet1,19,91017190,SBC-FAB V/C W/BREATHR TUBES,CRS_15.07.2026__91017190.png,,
CRS 15.07.2026.xlsx,sheet1,20,91017190-BLK,"SBC-FAB V/C W/BREATHR TUBES, BLACK",CRS_15.07.2026__91017190-BLK.png,,
CRS 15.07.2026.xlsx,sheet1,21,91028146,12-volt  Brake Vacuum Pump Kit,CRS_15.07.2026__91028146.png,,
CRS 15.07.2026.xlsx,sheet1,22,91031134L,"GM METRIC UPPER A-ARM, LH, BOLT-IN BALL JOINT, 8""",CRS_15.07.2026__91031134L.png,,
CRS 15.07.2026.xlsx,sheet1,23,91031134R,"GM METRIC UPPER A-ARM, RH, BOLT-IN BALL JOINT, 8""",CRS_15.07.2026__91031134R.png,,
CRS 15.07.2026.xlsx,sheet1,24,91034397-8.5,"1970-81 Camaro Upper Racing Control A-Arm,8.5""",CRS_15.07.2026__91034397-8.5.png,,
CRS 15.07.2026.xlsx,sheet1,25,91034397-9.25,"1970-81 Camaro Upper Racing Control A-Arm,9.25""",CRS_15.07.2026__91034397-9.25.png,,
CRS 15.07.2026.xlsx,sheet1,26,91054715,MONTE SS STOCK CAR FRONT BUMPER KIT,CRS_15.07.2026__91054715.png,,
CRS 15.07.2026.xlsx,sheet1,27,91081009-BLK,"QUICK CHANGE GEAR PAN, BLACK",CRS_15.07.2026__91081009-BLK.png,,
CRS 15.07.2026.xlsx,sheet1,28,91081009-RAW,"QUICK CHANGE GEAR PAN, RAW",CRS_15.07.2026__91081009-RAW.png,,
CRS 15.07.2026.xlsx,sheet1,29,AS-FHSP,"Finned Hilborn Style Air Scoop, Single Carb Mounting Polished",CRS_15.07.2026__AS-FHSP.png,,
CRS 15.07.2026.xlsx,sheet1,30,AS-S05DB,Aluminum Smooth Hilborn Style Hood Scoop for Dual Quad Carbs Black,CRS_15.07.2026__AS-S05DB.png,,
CRS 15.07.2026.xlsx,sheet1,31,AS-S10TB-RED,"Aluminum Smooth Street Hood Scoop Single or Dual Quad Reversible Round Flaps,Black",CRS_15.07.2026__AS-S10TB-RED.png,,
CRS 15.07.2026.xlsx,sheet1,32,AXL-8295CDL-712.5,1982-1995 Cadillac Steel Alex  and Bolts ,CRS_15.07.2026__AXL-8295CDL-712.5.png,,
CRS 15.07.2026.xlsx,sheet1,33,BCK-015,"1967-1970 Ford Mustang Booster Conv. Kit, Auto, Disc /Drum",CRS_15.07.2026__BCK-015.png,,
CRS 15.07.2026.xlsx,sheet1,34,BCK-032,"55-57 Fullsize Chevy Brake Booster Conversion Kit, 1"" Bore,disc/drum ",CRS_15.07.2026__BCK-032.png,,
CRS 15.07.2026.xlsx,sheet1,35,BCK-048,70-78 Camaro 11 In Delco Power Brake Booster/Master Conversion Kit,CRS_15.07.2026__BCK-048.png,,
CRS 15.07.2026.xlsx,sheet1,36,BCK-056,"64-72 GM A, F, X Body Brake 9 In Booster Conversion Kit.64-72 Buick,",CRS_15.07.2026__BCK-056.png,,
CRS 15.07.2026.xlsx,sheet1,37,BCK-074,66-69 Mopar B Body 8 Inch Dual Bendix Brake Booster Kit,CRS_15.07.2026__BCK-074.png,,
CRS 15.07.2026.xlsx,sheet1,38,BCK-081,Universal GM Master Cylinder Kit Adjustable Valve,CRS_15.07.2026__BCK-081.png,,
CRS 15.07.2026.xlsx,sheet1,39,BCK-152-BK,Dual Diaphragm Booster 1973-93 GM Truck Combo,CRS_15.07.2026__BCK-152-BK.png,,
CRS 15.07.2026.xlsx,sheet1,40,BCK-203-Z,"1964 - 1972 GM A Body GMC Chevy 9"" Power Brake Booster Master Cylinder Kit",CRS_15.07.2026__BCK-203-Z.png,,
CRS 15.07.2026.xlsx,sheet1,41,BCK-204-Z,"A-Body 9"" Zinc Power Brake Booster Delco + Power Master Cylinder w/ Bleeders",CRS_15.07.2026__BCK-204-Z.png,,
